id,input_type,content,label
1,text,Обнаружена подозрительная активность. Проверьте аккаунт: 128,phish
2,text,"Техподдержка WhatsApp. Отправьте код из SMS, иначе аккаунт удалят.",phish
3,text,"Скинь, пожалуйста, конспект.",safe
4,url,https://kaspi.kz/573,safe
5,url,https://edu.kz/880,safe
6,text,"Привет, как дела?",safe
7,url,https://mail.google.com/339,safe
8,text,Домашнее задание загружено в Google Classroom.,safe
9,text,Мы заметили подозрительную активность. Проведите проверку: 129,phish
10,url,http://verify-secure-login472.info,phish
11,url,https://mail.google.com/200,safe
12,url,http://secure-check151.site,phish
13,text,Обнаружена подозрительная активность. Проверьте аккаунт: 125,phish
14,url,https://safety-check-Telegram-669.org,phish
15,text,Обнаружена подозрительная активность. Проверьте аккаунт: 82,phish
16,url,https://edu.kz/440,safe
17,url,https://safety-check-Facebook-651.org,phish
18,url,https://edu.kz/879,safe
19,url,http://secure-check246.site,phish
20,url,http://bank-Kazakhstan-confirm-763.net,phish
21,url,https://mail.google.com/515,safe
22,text,Ваш платеж успешно выполнен.,safe
23,text,Обнаружена подозрительная активность. Проверьте аккаунт: 142,phish
24,url,https://free-AirPods-giveaway-461.org,phish
25,url,https://promo-gift531.org,phish
26,url,http://bank-confirm841.ru,phish
27,url,https://kaspi.kz/495,safe
28,url,https://promo-gift167.org,phish
29,text,"Вы выиграли подарок! Чтобы получить, заполните форму: 632",phish
30,text,"СРОЧНО! Ваш сын в беде. Нужны деньги. Не звоните, переведите сюда!",phish
31,url,https://mail.google.com/198,safe
32,url,https://gov.kz/647,safe
33,url,https://github.com/118,safe
34,url,http://bank-confirm554.ru,phish
35,text,Нужна помощь со статьей.,safe
36,text,Акция! Пополни баланс и получи х3. Осталось 10 минут!,phish
37,text,Акция! Пополни баланс и получи х3. Осталось 60 минут!,phish
38,text,"Сессия истекла. Авторизуйтесь заново по ссылке, иначе доступ закроется.",phish
39,url,https://edu.kz/766,safe
40,text,Учитель отправил новый материал. Ознакомьтесь пожалуйста.,safe
41,text,Обновление безопасности WhatsApp. Введите пароль для продолжения работы.,phish
42,url,https://gov.kz/753,safe
43,text,Поздравляем! Вы выиграли PlayStation 5. Для получения оплатите доставку 15000 тг.,phish
44,url,https://gov.kz/754,safe
45,text,"Вы выиграли подарок! Чтобы получить, заполните форму: 599",phish
46,url,https://gov.kz/159,safe
47,url,http://promo-bonus-VK-819.info,phish
48,text,Срочно! Ваш банковский счёт будет закрыт через 12 часов. Обновите реквизиты.,phish
49,text,Обнаружена подозрительная активность в аккаунте WhatsApp. Проверьте срочно!,phish
50,text,"Привет, как дела?",safe
51,url,https://mail.google.com/335,safe
52,url,https://promo-gift741.org,phish
53,url,http://bank-confirm605.ru,phish
54,url,https://Instagram-verify-account-878.site,phish
55,url,http://promo-bonus-Instagram-485.info,phish
56,url,https://Instagram-support-center-444.info,phish
57,text,Ваша подписка Google истекает. Продлите сейчас со скидкой 50%!,phish
58,url,http://bank-confirm251.ru,phish
59,text,Учитель отправил новые материалы.,safe
60,url,http://Telegram-recovery-id-666.ru,phish
61,text,Ваш аккаунт Steam заблокирован. Срочно подтвердите данные по ссылке.,phish
62,url,https://safety-check-WhatsApp-811.org,phish
63,text,Учитель отправил новые материалы. Ознакомьтесь пожалуйста.,safe
64,url,https://kaspi.kz/199,safe
65,url,http://secure-check812.site,phish
66,text,Вы выбраны участником опроса. Введите номер телефона и получите 50000 тг.,phish
67,text,Поздравляем! Вы выиграли AirPods. Для получения оплатите доставку 50000 тг.,phish
68,text,Ваш телефон заражён вирусами! Скачайте антивирус по ссылке.,phish
69,url,https://update-account312.net,phish
70,url,https://kaspi.kz/151,safe
71,url,http://verify-secure-login625.info,phish
72,text,"Ваши данные устарели. Обновите информацию, иначе аккаунт будет удалён.",phish
73,text,Поздравляем! Вы выиграли PlayStation 5. Для получения оплатите доставку 50000 тг.,phish
74,text,Вы выбраны участником опроса. Введите email и получите 25000 тг.,phish
75,text,Обнаружена подозрительная активность. Проверьте аккаунт: 985,phish
76,url,https://google.com/706,safe
77,url,http://verify-secure-login628.info,phish
78,text,Мы заметили подозрительную активность. Проведите проверку: 40,phish
79,url,http://secure-check192.site,phish
80,url,https://wikipedia.org/wiki/814,safe
81,text,Мы заметили подозрительную активность. Проведите проверку: 241,phish
82,url,http://secure-check574.site,phish
83,text,Нужна помощь со статьей,safe
84,text,"Вы выиграли подарок! Чтобы получить, заполните форму: 77",phish
85,text,Подтвердите личность. Отправьте селфи с паспортом по ссылке ниже.,phish
86,text,"Привет, как твои дела?",safe
87,text,Последнее предупреждение! Оплатите задолженность 5000 тг до сегодня.,phish
88,url,https://kaspi.kz/108,safe
89,url,https://update-account764.net,phish
90,text,Спасибо за поддержку!,safe
91,url,http://bank-Kazakhstan-confirm-530.net,phish
92,url,http://secure-login-WhatsApp.com/verify,phish
93,url,https://mail.google.com/699,safe
94,url,http://secure-check509.site,phish
95,text,Ваш аккаунт заблокирован. Нажмите здесь!,phish
96,text,Мы заметили подозрительную активность. Проведите проверку: 79,phish
97,url,https://edu.kz/653,safe
98,url,http://promo-bonus-TikTok-385.info,phish
99,url,https://kaspi.kz/421,safe
100,url,https://youtube.com/watch?v=793,safe
101,url,http://secure-check380.site,phish
102,url,https://free-iPhone 15-giveaway-830.org,phish
103,url,http://update-Kaspi-security-709.com,phish
104,url,https://google.com/140,safe
105,url,https://edu.kz/652,safe
106,text,Ваш платёж не прошёл. Повторите попытку через эту форму.,phish
107,text,"Отлично, спасибо!",safe
108,url,https://promo-gift495.org,phish
109,url,https://youtube.com/watch?v=181,safe
110,text,Обнаружена подозрительная активность. Проверьте аккаунт: 788,phish
111,url,https://google.com/349,safe
112,url,https://edu.kz/486,safe
113,url,https://mail.google.com/406,safe
114,text,Обнаружена подозрительная активность. Проверьте аккаунт: 875,phish
115,url,https://wikipedia.org/wiki/511,safe
116,url,http://bank-Kazakhstan-confirm-942.net,phish
117,text,Можешь помочь с задачей по математике?,safe
118,url,https://google.com/205,safe
119,url,https://edu.kz/278,safe
120,url,https://google.com/947,safe
121,text,Ваш заказ доставлен. Курьер прибудет в течение часа.,safe
122,text,Верифицируйте аккаунт срочно!,phish
123,text,Какие планы на выходные?,safe
124,url,https://Telegram-payment-confirm-663.net,phish
125,text,Помоги мне со статьей,safe
126,url,https://Steam-verify-account-991.site,phish
127,url,https://mail.google.com/628,safe
128,text,Расскажи про проект подробнее.,safe
129,text,Ваш банковский счёт будет деактивирован. Обновите реквизиты.,phish
130,url,http://update-Instagram-security-663.com,phish
131,url,http://update-Google-security-828.com,phish
132,url,https://mail.google.com/169,safe
133,url,http://verify-secure-login369.info,phish
134,url,http://update-TikTok-security-240.com,phish
135,url,https://update-account128.net,phish
136,url,https://gov.kz/477,safe
137,url,https://gov.kz/160,safe
138,text,"Вы выиграли подарок! Чтобы получить, заполните форму: 391",phish
139,url,http://bank-Kazakhstan-confirm-617.net,phish
140,url,https://Steam-payment-confirm-102.net,phish
141,text,Ваш заказ доставлен. Курьер скоро прибудет.,safe
142,text,Подтвердите личность. Отправьте фото паспорта по ссылке ниже.,phish
143,url,http://Google-recovery-id-319.ru,phish
144,url,https://kaspi.kz/464,safe
145,url,http://bank-confirm995.ru,phish
146,url,https://update-account489.net,phish
147,url,http://secure-check460.site,phish
148,text,"Вы выиграли подарок! Чтобы получить, заполните форму: 420",phish
149,text,Ваша подписка Kaspi истекает. Продлите сейчас со скидкой 50%!,phish
150,url,http://bank-confirm994.ru,phish
